id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
252729776,3308 N High St,Denver,CO,80205,,,6,8,16,4212,6300,2016,6/17/2016,530000,6/13/2016,535000,474427
184754863,2047 Locust St,Denver,CO,80207,39.748406,-104.914307,3,5,8,3400,6100,2016,5/22/2017,1578920,6/6/2016,451000,1560145
251007587,2342 N Clarkson St,Denver,CO,80205,39.751381,-104.976933,3,0,6,2098,3125,2016,5/18/2017,895000,2/1/2016,48000,889990
184302666,3118 N Humboldt St,Denver,CO,80205,39.761156,-104.969643,3,3,6,1916,3150,2016,7/7/2017,750000,12/24/2015,1070000,353226
18804728,2251 Eudora St,Denver,CO,80207,39.750246,-104.930845,3,2,8,2860,4720,2016,3/3/2017,1402000,9/9/2015,399900,1425270
26228083,468 Milwaukee St,Denver,CO,80206,39.723678,-104.951858,3,5,8,4976,6250,2016,9/8/2016,1283333,5/8/2015,1020000,4068207
184291609,2256 N Washington St,Denver,CO,80205,39.750381,-104.97813,4,4,7,2298,3125,2016,10/10/2016,850000,9/10/2014,125000,896819
26612058,2281 Cherry St,Denver,CO,80207,39.750744,-104.934246,4,4,8,3108,6000,2016,2/14/2017,1250000,7/31/2014,300000,1238141
184306006,3528 E Virginia Ave,Denver,CO,80209,39.706545,-104.947381,4,2,10,3642,10200,2016,1/19/2016,621500,5/6/2013,400000,2512946
184283800,3835 N Williams St,Denver,CO,80205,39.77069,-104.965942,3,3,6,1839,3120,2016,7/18/2012,29000,5/3/2012,17000,417576
11014215,2000 E 22nd Ave,Denver,CO,80205,39.749269,-104.963189,3,4,6,2821,4930,2016,12/31/2012,255000,9/6/2011,205200,604834
146962195,520 S Garfield St,Denver,CO,80209,39.705891,-104.945634,4,5,9,3876,10800,2016,12/7/2015,785000,3/10/2011,535000,1069463
39512040,764 S York St,Denver,CO,80209,39.702607,-104.960243,3,4,7,2567,6250,2016,7/23/2012,420000,11/29/2010,385000,770622
10890023,3433 N Gaylord St,Denver,CO,80205,39.76518,-104.961333,3,3,6,2472,4690,2016,9/10/2007,56000,5/14/2007,30000,250456
11586742,636 S Williams St,Denver,CO,80209,39.704969,-104.966025,3,5,6,2578,4680,2016,7/22/2015,637600,2/2/2007,481900,745777
11586398,450 S Vine St,Denver,CO,80209,39.708351,-104.962546,3,5,7,2570,4680,2016,2/11/2015,571000,1/3/2007,399000,682810
184284013,1016 30th St,Denver,CO,80205,39.761017,-104.978855,2,3,4,1490,1500,2016,1/12/2015,65000,9/5/2006,1000,587246
8764309,969 S High St,Denver,CO,80209,39.698949,-104.965524,3,2,7,2855,4720,2016,4/22/2016,629000,6/28/2006,236306,1349424
39562172,15 Polo Club Dr,Denver,CO,80209,39.707764,-104.952479,3,3,8,4884,22738,2016,5/29/2014,2300000,12/21/2005,2300000,3128173
43208991,731 S Elizabeth St,Denver,CO,80209,39.703135,-104.956141,2,3,6,2680,6160,2016,3/31/2015,485000,6/19/2003,357500,753935
46313688,890 Bonnie Brae Blvd,Denver,CO,80209,39.700446,-104.953692,3,4,8,4668,14000,2016,3/25/2015,1000000,11/1/2002,818000,1656471
46263500,1926 Newton St,Denver,CO,80204,39.746983,-105.036634,5,4,8,3442,4760,2016,7/21/2015,425000,4/22/2002,250000,491674
184306245,1074 S Franklin St,Denver,CO,80209,39.697018,-104.968378,3,5,8,3389,6300,2016,11/9/2015,1400000,6/1/1997,186000,1624790
184302665,3120 N Humboldt St,Denver,CO,80205,39.761156,-104.969643,3,3,6,1916,3150,2016,12/24/2015,1070000,10/1/1994,15000,695446
184305844,456 S High St,Denver,CO,80209,39.708197,-104.964857,3,5,10,3346,6240,2016,1/11/2016,725000,7/15/1993,124000,751361
184289630,3001 Lawrence St,Denver,CO,80205,39.761981,-104.979658,4,2,7,3739,12491,2016,12/2/2015,1275000,4/28/1988,40000,1472586
184295257,3247 N Williams St,Denver,CO,80205,39.762638,-104.965964,1,2,4,1614,3140,2016,3/2/2015,100000,7/1/1979,900,615083
21640799,3449 N Franklin St,Denver,CO,80205,39.765481,-104.968767,1,1,4,1103,3150,1889,7/19/2017,250000,,16800,304643
1906560,5555 E Thrill Pl,Denver,CO,80207,39.763124,-104.922706,3,1,5,1102,7500,1953,7/14/2017,300500,,54000,408137
184288909,4433 Montview Blvd,Denver,CO,80207,39.747744,-104.935364,4,3,8,3114,14800,1908,7/11/2017,1517500,,263800,1502054
51216885,3724 Walnut St,Denver,CO,80205,39.769728,-104.972308,2,2,5,2394,14068,1890,6/26/2017,2115030,,,1846191
184299623,1124 Clayton St,Denver,CO,80206,39.734236,-104.954849,4,2,7,1617,3787,1899,6/23/2017,700000,,,724343
221205933,2407 N Vine St,Denver,CO,80205,39.75268,-104.962593,4,4,10,2474,4824,2013,6/21/2017,1300000,,,1219508
141899260,1350 Vrain St,Denver,CO,80204,39.737603,-105.046025,3,2,7,1791,7810,1947,6/16/2017,550000,,95400,542392
184290153,1671 Wolff St,Denver,CO,80204,39.743431,-105.049009,2,2,4,878,5750,1949,6/15/2017,80000,,56400,453406
184298561,849 N Washington St,Denver,CO,80203,39.729965,-104.979093,10,5,19,3970,6250,1912,6/12/2017,832000,,238700,1210897
184305993,630 S Monroe Way,Denver,CO,80209,39.706258,-104.94815,3,3,8,1884,12400,1954,6/7/2017,875000,,219100,987022
184188607,3440 N Columbine St,Denver,CO,80205,39.765113,-104.957304,4,3,8,1971,4635,2015,5/11/2017,615000,1/12/2017,625000,601559
147918827,857 S High St,Denver,CO,80209,39.700936,-104.965497,3,5,10,2672,4690,2015,7/17/2017,1740000,9/9/2016,1665000,1417950
184746815,977 S High St,Denver,CO,80209,39.698746,-104.965523,3,5,10,3084,4720,2015,10/31/2016,1635000,5/4/2016,1670000,1738513
184743416,664 S Race St,Denver,CO,80209,39.704452,-104.963713,4,5,10,2880,4680,2015,9/19/2016,1500000,11/25/2015,0,1654358
248771763,1571 Monroe St,Denver,CO,80206,39.741098,-104.945362,3,4,7,2398,4050,2015,11/4/2015,850000,10/2/2015,0,970320
251007294,3262 Curtis St,Denver,CO,80205,39.762711,-104.974732,2,3,5,1343,1700,2015,3/21/2016,475000,9/8/2015,400000,554087
184297242,4900 W 17th Ave,Denver,CO,80204,39.743753,-105.050089,3,4,7,2778,3626,2015,2/8/2017,1092500,7/15/2015,600000,1106045
51294023,776 S Gaylord St,Denver,CO,80209,39.702468,-104.961409,4,5,10,3373,6250,2015,2/25/2016,1750000,4/15/2015,0,1986442
51087540,2330 Jasmine St,Denver,CO,80207,39.751665,-104.918452,4,5,9,3003,6250,2015,9/9/2016,1285000,3/3/2015,400000,1349536
184743342,520 Steele St,Denver,CO,80206,39.724565,-104.949456,2,5,7,4427,6250,2015,1/6/2017,2673000,2/10/2015,760000,2768924
251527407,3035 N Race St,Denver,CO,80205,39.76012,-104.963459,4,4,9,2825,5292,2015,7/13/2016,659000,1/12/2015,175000,846144
11586745,677 S Williams St,Denver,CO,80209,39.704279,-104.966658,3,5,10,2912,4680,2015,3/29/2016,1380000,12/30/2014,532000,1544826
184308926,2547 N Emerson St,Denver,CO,80205,39.754143,-104.976095,3,3,6,2474,3120,2015,3/17/2017,820000,12/22/2014,199000,699497
49716702,726 S York St,Denver,CO,80209,39.703307,-104.960243,3,5,10,2872,4690,2015,2/26/2016,1185000,9/26/2014,403000,1737934
184294616,2060 Jasmine St,Denver,CO,80207,39.748634,-104.918416,4,5,8,3148,6250,2015,1/29/2016,1300000,9/25/2014,390000,1481842
184748382,3726 N Gilpin St,Denver,CO,80205,39.769126,-104.967158,4,3,7,1783,3120,2015,7/22/2015,485000,9/22/2014,80000,477699
184300396,464 S Gaylord St,Denver,CO,80209,39.708066,-104.961392,3,6,10,3867,6240,2015,2/29/2016,2230000,7/28/2014,675000,2519664
184306097,560 S Race St,Denver,CO,80209,39.706331,-104.963699,4,5,10,3096,4680,2015,10/20/2015,1380000,7/2/2014,510000,1751164
184283545,2391 Grape St,Denver,CO,80207,39.752689,-104.924927,4,4,8,2891,6250,2015,12/16/2015,1175000,5/30/2014,270000,1352704
141593429,2325 N Glencoe St,Denver,CO,80207,39.751528,-104.926103,3,4,8,3038,6250,2015,12/17/2015,1150000,3/10/2014,310000,1336125
